latitude,longitude,list_of_name_keys,list_of_names,list_of_reference_keys,list_of_method_keys,timestamp_min,timestamp_max,num_measurements
-84.383,-111.05,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-12-11,1958-12-11,1
-84.375,-105.083,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-12-13,1958-12-13,1
-84.367,33.9,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-18,1965-01-18,1
-84.35,-97.417,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-84.308,-91.917,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-12-23,1958-12-23,1
-84.3,132.517,25,McMurdo-Pole Traverse 1960-1961,14,-9999,1961-01-21,1961-01-21,1
-84.29,-171.375,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-84.246,-151.908,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-84.172,-171.15,16,Ross Ice Shelf Traverse 1957-1958,5,1,1957-12-31,1957-12-31,1
-84.167,37.6,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-19,1965-01-19,1
-84.12,-162.064,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-84.033,40.617,29,Syowa-South Pole Traverse 1968-1969,17,4,1968-11-30,1968-11-30,1
-83.983,-102.2,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-83.955,-125.033,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-11-21,1958-11-21,1
-83.888,-166.883,16,Ross Ice Shelf Traverse 1957-1958,5,1,1958-01-05,1958-01-05,1
-83.887,-174.75,16,Ross Ice Shelf Traverse 1957-1958,5,1,1957-12-29,1957-12-29,1
-83.883,41.3,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-22,1965-01-22,1
-83.85,141.0,17,Trans-Antarctic Expedition 1957-1958,6,-9999,1958-02-04,1958-02-04,1
-83.792,-163.233,16,Ross Ice Shelf Traverse 1957-1958,5,1,1958-01-11,1958-01-11,1
-83.788,-95.65,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-12-25,1958-12-25,1
-83.783,-105.25,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-83.721,-166.521,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-83.707,176.854,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-83.533,-168.033,16,Ross Ice Shelf Traverse 1957-1958,5,1,1958-01-07,1958-01-07,1
-83.533,44.55,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-23,1965-01-23,1
-83.525,173.007,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-83.517,-156.026,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-83.433,124.8,25,McMurdo-Pole Traverse 1960-1961,14,-9999,1961-01-18,1961-01-18,1
-83.411,-151.215,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-83.383,-124.083,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-11-14,1958-11-14,1
-83.383,-107.667,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-83.365,174.9,16,Ross Ice Shelf Traverse 1957-1958,5,1,1957-12-22,1957-12-22,1
-83.359,-171.235,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-83.355,178.75,16,Ross Ice Shelf Traverse 1957-1958,5,1,1957-12-25,1957-12-25,1
-83.348,-167.424,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-83.32,-99.033,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-12-27,1958-12-27,1
-83.209,-163.477,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-83.177,-163.517,16,Ross Ice Shelf Traverse 1957-1958,5,1,1958-01-20,1958-01-20,1
-83.167,47.467,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-24,1965-01-24,1
-83.007,40.517,29,Syowa-South Pole Traverse 1968-1969,17,4,1968-11-26,1968-11-26,1
-82.997,-159.201,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-82.933,-110.1,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-82.917,24.167,42,South Pole-Queen Maud Land Traverse II,30,-9999,1965-12-28,1965-12-28,1
-82.913,-179.819,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-82.89,-167.8,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-82.889,171.995,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-82.883,30.333,42,South Pole-Queen Maud Land Traverse II,30,-9999,1965-12-25,1965-12-25,1
-82.881,-154.267,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-82.881,175.821,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-82.867,18.167,42,South Pole-Queen Maud Land Traverse II,30,-9999,1965-12-30,1965-12-30,1
-82.867,35.75,42,South Pole-Queen Maud Land Traverse II,30,-9999,1965-12-23,1965-12-23,1
-82.856,-150.888,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-82.833,50.517,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-25,1965-01-25,1
-82.817,-102.083,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-12-29,1958-12-29,1
-82.81,174.05,16,Ross Ice Shelf Traverse 1957-1958,5,1,1957-12-21,1957-12-21,1
-82.808,-123.383,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-11-13,1958-11-13,1
-82.8,41.083,42,South Pole-Queen Maud Land Traverse II,30,-9999,1965-12-21,1965-12-21,1
-82.759,167.807,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-82.738,-164.053,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-82.735,-161.892,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-82.7,46.417,42,South Pole-Queen Maud Land Traverse II,30,-9999,1965-12-18,1965-12-18,1
-82.633,-163.583,16,Ross Ice Shelf Traverse 1957-1958,5,1,1958-01-20,1958-01-20,1
-82.591,-153.247,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-82.567,-111.683,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-82.55,13.333,42,South Pole-Queen Maud Land Traverse II,30,-9999,1966-01-06,1966-01-06,1
-82.542,-105.717,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1959-01-02,1959-01-02,1
-82.539,-166.013,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-82.461,-172.523,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-82.452,176.506,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-82.45,51.083,42,South Pole-Queen Maud Land Traverse II,30,-9999,1965-12-16,1965-12-16,1
-82.45,52.867,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-26,1965-01-26,1
-82.374,-168.646,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-82.363,168.448,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-82.322,173.0,16,Ross Ice Shelf Traverse 1957-1958,5,1,1957-12-19,1957-12-19,1
-82.317,130.467,25,McMurdo-Pole Traverse 1960-1961,14,-9999,1961-01-14,1961-01-14,1
-82.237,-165.047,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-82.233,-122.808,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-11-11,1958-11-11,1
-82.225,164.792,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-82.19,-166.583,16,Ross Ice Shelf Traverse 1957-1958,5,1,1958-01-22,1958-01-22,1
-82.167,-51.417,14,Filchner Ice Shelf (Ellsworth) Traverse 1957-1958,3,-9999,1957-12-08,1957-12-08,1
-82.143,-109.118,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1959-01-13,1959-01-13,1
-82.142,-109.117,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1959-01-04,1959-01-04,1
-82.117,55.033,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-28,1965-01-28,1
-82.083,-113.717,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-82.078,-153.668,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-82.058,-73.967,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-11-29,1958-11-29,1
-82.053,-81.533,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-12-04,1958-12-04,1
-82.026,-176.765,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-82.013,-78.017,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-12-01,1958-12-01,1
-82.002,40.617,29,Syowa-South Pole Traverse 1968-1969,17,4,1968-11-24,1968-11-24,1
-82.0,9.583,42,South Pole-Queen Maud Land Traverse II,30,-9999,1966-01-08,1966-01-08,1
-81.996,-179.797,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-81.975,-54.717,14,Filchner Ice Shelf (Ellsworth) Traverse 1957-1958,3,-9999,1957-12-17,1957-12-17,1
-81.95,-29.0,17,Trans-Antarctic Expedition 1957-1958,6,-9999,1957-12-22,1957-12-22,1
-81.945,-158.578,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-81.944,-173.231,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-81.933,176.042,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-81.9,-169.828,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
